reproduction_rate,alpha,successor_capability,phi,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.062,0.2,4.0,10.0,False,True,False,139,15,1.827610222611363,36.75184801934633,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,138,15,1.8138726102175144,36.30945709527198,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,88,15,1.8038276296213875,35.61690926331359,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,145,15,1.8166689146549042,36.55910928371036,0.0,0.0
0.062,0.2,4.0,10.0,True,False,False,230,15,1.8049826961085107,37.24660148835023,6.890116229127642,0.08087058991019205
0.062,0.2,4.0,10.0,False,True,False,164,15,1.8072707208708005,36.83635011031708,0.0,0.0
0.062,0.2,4.0,10.0,False,True,False,147,15,1.8153982349948796,36.974979194847165,0.0,0.0
0.062,0.2,4.0,10.0,True,False,False,207,15,1.8337684705099502,36.372374156977685,6.224263153527876,0.07254679722238412
0.062,0.2,9.0,10.0,False,True,False,159,13,1.8144586815583148,37.13013389890482,0.0,0.0
0.062,0.2,9.0,10.0,True,False,False,233,13,1.7989766623317773,36.12089137445738,7.158665166373147,0.08422770565748074
0.062,0.2,9.0,10.0,False,True,False,132,13,1.7834762301107598,35.49416338126215,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,198,13,1.8056121700993932,36.39324720254285,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,153,13,1.8025679738282292,36.433642545373324,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,177,13,1.7997397473639405,36.34790062773652,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,158,13,1.8144199416918363,36.940220768286096,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,149,13,1.8133764280637967,35.92693785601393,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,135,13,1.8079348627954785,36.99494660908684,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,160,13,1.8365462526620713,37.23884168917112,0.0,0.0
0.062,0.2,9.0,10.0,True,False,False,247,13,1.807923097962813,36.266321455048455,7.460344461626384,0.08799898190960939
0.062,0.2,9.0,10.0,True,False,False,197,13,1.8134905186908394,36.496559159066074,5.974783337143937,0.06942806375322982
0.062,0.2,9.0,10.0,False,True,False,50,13,1.808232498768713,36.24682737040128,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,151,13,1.7881260663633176,36.00685711812868,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,120,13,1.8207774393624845,35.89612672826192,0.0,0.0
0.062,0.2,9.0,10.0,True,False,False,208,13,1.8058848735518074,36.28338367002704,6.517787044549088,0.0762161232667837
0.062,0.2,9.0,10.0,False,True,False,131,13,1.8168366240408715,36.43019342887227,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,108,13,1.8285897458314548,36.94080894611416,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,188,13,1.812258665447833,36.86164119298425,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,210,13,1.823652762132916,36.864013618003526,0.0,0.0
0.062,0.2,9.0,10.0,True,False,False,192,13,1.820749321755136,35.46233510624512,6.025170486101519,0.07005795077409839
0.062,0.2,9.0,10.0,False,True,False,141,13,1.8052713456623497,36.15491457498531,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,157,13,1.8457981599629405,36.05165880892321,0.0,0.0
0.062,0.2,9.0,10.0,True,False,False,220,13,1.8184719950011141,36.97766061240241,6.70020283185584,0.07849649304161756
0.062,0.2,9.0,10.0,False,True,False,109,13,1.812538706661212,36.254870080953204,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,148,13,1.8117027562478487,36.31849366634496,0.0,0.0
0.062,0.2,9.0,10.0,True,False,False,222,13,1.813977791831436,36.64083816198319,6.704705863077547,0.0785527851773998
0.062,0.2,9.0,10.0,True,False,False,224,13,1.803228269720061,35.29033413959635,6.902585903773944,0.08102647281476466
0.062,0.2,9.0,10.0,False,True,False,133,13,1.8223909262885825,37.256456845097325,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,132,13,1.8055915253710275,35.92830752911241,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,162,13,1.8240471115395507,36.92332760502598,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,141,13,1.7972120172171924,36.106284961480114,0.0,0.0
0.062,0.2,9.0,10.0,False,True,False,134,13,1.8279618374067983,36.673142527492416,0.0,0.0
