phi,shock_magnitude,wb_repro_floor,wb_repro_threshold,shock_step,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,pre_shock_avg_well_being,post_shock_avg_well_being,recovery_avg_well_being_step_150,recovery_avg_well_being_step_200,shock_deaths,total_births_post_shock,total_deaths_post_shock
1.0,0.2,0.0,0.5,100,0.066,1.0,1,False,True,False,225,10,0.0,0.0,0.7967910636729372,0.8101791516551293,0.612248774462818,0.7976495285294617,0.8058015059576609,12,2162,2249
1.0,0.2,0.0,0.5,100,0.066,1.0,4,False,True,False,113,10,0.0,0.0,0.7742743498506416,0.8025255289812748,0.6003838194482163,0.8119730074044524,0.7876423564891079,9,1158,1277
1.0,0.2,0.0,0.5,100,0.066,1.0,2,True,False,False,236,10,1.1041315762598365,0.08540312351757491,0.8146819543963625,0.8000334908228145,0.601711835501406,0.797588319004597,0.8034716982651362,11,2205,2263
1.0,0.2,0.0,0.5,100,0.066,1.0,5,True,False,False,311,10,1.2837450977832179,0.10785651141133912,0.7934228751942276,0.7963638928867138,0.6008213807216731,0.8043139110105529,0.804849587874393,8,2187,2087
1.0,0.2,0.0,0.5,100,0.066,1.0,7,True,False,False,215,10,1.022729007286379,0.07522703301470283,0.8274958836408265,0.8034389335146017,0.5973556362002355,0.8134862914900224,0.8203914601182751,8,1729,1729
1.0,0.2,0.0,0.5,100,0.066,1.0,10,False,True,False,146,10,0.0,0.0,0.8044336774545341,0.8106781877380229,0.6106141148175136,0.8006802055278728,0.8167796040517574,12,1843,1990
1.0,0.2,0.0,0.5,100,0.066,1.0,6,True,False,False,394,10,1.5517026174203348,0.14135373392436512,0.8101159233869442,0.8024322237180883,0.6014751289208865,0.807519819361377,0.8064442658501279,11,2961,2841
1.0,0.2,0.0,0.5,100,0.066,1.0,3,True,False,False,459,10,1.7539782261933232,0.16664009694982165,0.8012968827915087,0.8095907577169136,0.6050948108923011,0.8090846074218804,0.8088989212892989,17,3416,3371
1.0,0.2,0.0,0.5,100,0.066,1.0,9,True,False,False,260,10,1.2292741263282574,0.1010471251418521,0.8126045093779364,0.8214588009771908,0.6236141339050406,0.8085084730538001,0.8064407235210084,12,2347,2379
1.0,0.2,0.0,0.5,100,0.066,1.0,13,False,True,False,117,10,0.0,0.0,0.7995841778580159,0.8265269043521238,0.6333145845200746,0.8245907346436249,0.7895981456201968,7,1122,1186
1.0,0.2,0.0,0.5,100,0.066,1.0,8,True,False,False,339,10,1.3835093138146812,0.120327981188137,0.79768030092229,0.8130917896495322,0.6137143397199653,0.8120304842158295,0.8160441913289042,14,3070,3086
1.0,0.2,0.0,0.5,100,0.066,1.0,11,True,False,False,347,10,1.3995957444174603,0.12233893704768257,0.8030000146635539,0.802232966072699,0.6049941567726665,0.7880219535029891,0.8174885228898694,13,2640,2621
1.0,0.2,0.0,0.5,100,0.066,1.0,14,True,False,False,261,10,1.2315352135306425,0.10132978232252247,0.8069381094651871,0.8180009180651316,0.6190567452094657,0.8178249228552477,0.8038545952532827,11,2212,2225
1.0,0.2,0.0,0.5,100,0.066,1.0,12,True,False,False,332,10,1.3904145715452445,0.12119120380750918,0.8147437242590014,0.8145237162510179,0.6174398810585532,0.8184669952642348,0.807210983499239,10,2728,2649
1.0,0.2,0.5,0.5,100,0.066,1.0,0,True,False,False,246,10,1.1446517017485658,0.09046852234100573,0.813591187161345,0.8189834848215732,0.6178367553030336,0.8008931257445313,0.8023451967981584,10,2221,2217
1.0,0.2,0.5,0.5,100,0.066,1.0,3,True,False,False,174,10,0.8826225640592762,0.05771240356096362,0.8004372982365566,0.7983500589735345,0.5903462255968962,0.7920727659085128,0.7965215706271199,10,1445,1535
1.0,0.2,0.5,0.5,100,0.066,1.0,1,True,False,False,282,10,1.2314075103137818,0.10131381833488082,0.7988177232351061,0.7947275415579009,0.5922652401436023,0.8019860939056461,0.801090156111746,13,2591,2639
1.0,0.2,0.5,0.5,100,0.066,1.0,2,True,False,False,240,10,1.108356709019774,0.08593130522565268,0.80374700363648,0.8000420291737752,0.6029171225428509,0.8028907717791467,0.8018437642393585,12,2160,2216
1.0,0.2,0.5,0.5,100,0.066,1.0,4,True,False,False,331,10,1.3750611436800413,0.11927188010554315,0.8031073853189739,0.8162185504192135,0.6147256792845138,0.7903603384571666,0.808842713961985,12,2566,2530
1.0,0.2,0.5,0.5,100,0.066,1.0,5,False,True,False,167,10,0.0,0.0,0.8206088595719663,0.7931346690412616,0.5969368161510855,0.8100207147618264,0.8121008125094147,12,1469,1606
1.0,0.2,0.5,0.5,100,0.066,1.0,9,True,False,False,208,10,1.0078520632057002,0.07336727431194731,0.7893705348784634,0.8105467670237723,0.6097442413396027,0.8081526706057273,0.8108821602597553,9,1810,1819
1.0,0.2,0.5,0.5,100,0.066,1.0,8,True,False,False,340,10,1.4341565280171384,0.1266593617627379,0.8101056910889577,0.7830385381875494,0.5877653523240569,0.8046370193061979,0.8132296195626304,14,2602,2601
1.0,0.2,0.5,0.5,100,0.066,1.0,7,True,False,False,328,10,1.3325654042844821,0.11395951104808169,0.7980013717047306,0.8041566134072838,0.6016394211426425,0.8009381149162716,0.803118486092979,14,2859,2886
1.0,0.2,0.5,0.5,100,0.066,1.0,10,False,True,False,143,10,0.0,0.0,0.8026114038142008,0.8072759585160282,0.6038815940787094,0.8149997717294919,0.810564180478253,12,1596,1739
1.0,0.2,0.5,0.5,100,0.066,1.0,11,False,True,False,197,10,0.0,0.0,0.7965629583475172,0.7983924178983165,0.5927708709830787,0.8093968765837162,0.7968913937938769,12,2146,2261
1.0,0.2,0.5,0.5,100,0.066,1.0,6,True,False,False,351,10,1.4005338615878713,0.12245621060291936,0.8129802754867257,0.7941197544949623,0.5903393880013135,0.8000302153502622,0.8095839691086497,18,2790,2880
1.0,0.2,0.5,0.5,100,0.066,1.0,14,True,False,False,235,10,1.0437453196588813,0.07785427062274311,0.7845707251575347,0.8025107286054718,0.6037126085916751,0.7821525887383759,0.8090496675347293,9,1432,1423
1.0,0.2,0.5,0.5,100,0.066,1.0,13,True,False,False,236,10,1.0589020499161712,0.07974900526401672,0.804271038349684,0.8078138296038003,0.6123844191284576,0.8109882692885383,0.796174326985237,11,2138,2168
1.0,0.2,0.5,0.5,100,0.066,1.0,12,True,False,False,254,10,1.1431035031550938,0.09027498280417366,0.8102367864813989,0.8101246424776846,0.6076377647873915,0.7975881197257318,0.8023117866780006,10,2107,2115
1.0,0.4,0.0,0.5,100,0.066,1.0,0,True,False,False,258,10,1.220664936746283,0.09997089498934972,0.8156225534499308,0.8196476765313623,0.41740071417395647,0.8052704239037985,0.7959973809774434,24,2340,2370
1.0,0.4,0.0,0.5,100,0.066,1.0,3,True,False,False,280,10,1.1943731175064929,0.09668416924209695,0.7916151035425005,0.8142653248505356,0.4191644823903234,0.8120773614485348,0.802489788955948,23,1890,1885
