alpha,successor_capability,phi,reproduction_rate,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.1,1.5,10.0,0.09,True,False,False,3221,114,0.04697165470630728,3.5571486739246296,1.7337394123121678e+22,3.467482295117072e+20
0.1,1.5,10.0,0.09,True,False,False,3134,139,0.04708212133297208,3.545048193650233,4.374736348716897e+26,8.749481455307836e+24
0.1,1.5,10.0,0.09,True,False,False,3134,131,0.020922898847098866,3.54856045762471,1.7071733319068556e+25,3.414350080997282e+23
0.1,1.5,10.0,0.09,True,False,False,3190,142,0.04723805037398428,3.5268054941096194,1.46875102390166e+27,2.9375049882401802e+25
0.1,1.5,10.0,0.09,True,False,False,3130,123,0.020750847800402608,3.5482144965696403,6.6010691450783e+23,1.3202151504752966e+22
0.1,1.5,10.0,0.09,True,False,False,3035,134,0.033654297442713726,3.5274992396883285,5.763723474175426e+25,1.1527458486388642e+24
0.1,1.5,10.0,0.09,True,False,False,3070,118,0.027255308711924418,3.5505637665896037,8.73898265538766e+22,1.7477982806256528e+21
0.1,1.5,10.0,0.09,True,False,False,3163,118,0.05387955905852167,3.5575832042314097,8.717391136215845e+22,1.7434799724406498e+21
0.1,1.5,10.0,0.09,True,False,False,3259,136,0.03381319800178406,3.5534717715198605,1.2936790948812504e+26,2.5873607793358964e+24
0.1,1.5,10.0,0.09,True,False,False,3050,121,0.03382131796137728,3.5357527977985734,2.9550383300039863e+23,5.910082575537176e+21
0.1,2.5,10.0,0.09,True,False,False,3186,117,0.18012999567600663,3.9500712450639313,9.683956702839595e+22,1.9367932790083743e+21
0.1,1.5,10.0,0.09,True,False,False,3214,143,0.03361593912028882,3.5448308173242493,2.2049313293398406e+27,4.409867072618504e+25
0.1,1.5,10.0,0.09,True,False,False,3057,118,0.03368729907001457,3.5286942161998534,8.74523233383777e+22,1.749048217495506e+21
0.1,2.5,10.0,0.09,True,False,False,3240,130,0.12146241921003034,3.926470768672834,1.890570936159391e+25,3.781145656813566e+23
0.1,2.5,10.0,0.09,True,False,False,3108,90,0.33703741333559567,3.926898360809002,1.7113672321315075e+18,3.422737890467726e+16
0.1,1.5,10.0,0.09,True,False,False,3172,122,0.027158615283165714,3.525546333004548,4.416143918878671e+23,8.832296677191573e+21
0.1,2.5,10.0,0.09,True,False,False,3046,126,0.05374341975207038,3.8534392955045043,3.725248241209654e+24,7.450503939670974e+22
0.1,2.5,10.0,0.09,True,False,False,3157,114,0.10623183473544116,3.9376305117700436,2.8747199685647793e+22,5.749445691553231e+20
0.1,2.5,10.0,0.09,True,False,False,3223,121,0.026265033513460503,4.198930936495823,4.9386901754644906e+23,9.877390237321086e+21
0.1,2.5,10.0,0.09,True,False,False,3263,125,0.041027558694288924,4.118607836403052,2.493585366404975e+24,4.987175724960497e+22
0.1,2.5,10.0,0.09,True,False,False,3337,119,0.11359759461392462,3.88345472779998,2.1892063945614356e+23,4.378417171279086e+21
0.1,2.5,10.0,0.09,True,False,False,3104,127,0.115415903711661,3.909259717985978,5.604008321744403e+24,1.1208027862387512e+23
0.1,2.5,10.0,0.09,True,False,False,3056,122,0.10017828617669558,3.9520926697292458,7.346870191856878e+23,1.469375509060333e+22
0.1,2.5,10.0,0.09,True,False,False,3172,116,0.1294555717316646,3.8914985030770683,6.50769414254559e+22,1.3015401311687428e+21
0.1,2.5,10.0,0.09,True,False,False,3252,115,0.1999065366122566,3.909982592288282,4.308312307261014e+22,8.616633239604228e+20
0.1,2.5,10.0,0.09,True,False,False,3117,112,0.08422827237532149,3.9157161802332014,1.2868802572051076e+22,2.573763090584187e+20
0.1,2.5,10.0,0.09,True,False,False,3122,103,0.15118853753095182,3.9668559560320507,3.32678199607338e+20,6.653570652919153e+18
0.1,2.5,10.0,0.09,True,False,False,3183,102,0.18728562621828837,3.8873510142744045,2.2021341851076562e+20,4.404272778951568e+18
0.1,2.5,10.0,0.09,True,False,False,2969,120,0.0921665355300035,3.9015551645371502,3.2757647730330674e+23,6.5515361042958e+21
0.1,2.5,10.0,0.09,True,False,False,3012,110,0.12698921803809374,3.913923043270647,5.696565368137537e+21,1.1393142141482892e+20
0.1,2.5,10.0,0.09,True,False,False,3122,117,0.09933647148961768,3.9272228520862322,9.72083245875634e+22,1.9441684376827155e+21
0.1,2.5,10.0,0.09,True,False,False,3201,101,0.2026300226261568,3.916331385138265,1.4787247829293115e+20,2.957452526152899e+18
0.1,2.5,10.0,0.09,True,False,False,3285,105,0.11334397270621087,3.919724116583139,7.503808436598411e+20,1.5007631895058602e+19
0.1,2.5,10.0,0.09,True,False,False,3198,141,0.04926726407804042,4.107319755761382,1.6308063333679997e+27,3.26161593111515e+25
