reproduction_rate,defense_active,seed,extinct,final_population,collapsed,survived,opacity_accum_final,max_opacity_reached,step_opacity_exceeded_threshold,defense_fired_count,defense_blocked_count,final_ai_generation,steps_completed,final_avg_U_sys,final_avg_L_t
0.068,True,1373100082,False,161,True,False,0.47745113928242705,0.47611372277693487,171,130,130,1,300,20.730977649278543,0.2273062838395888
0.068,True,954270767,False,170,True,False,0.5249555334036191,0.5236609435146451,147,154,154,1,300,22.547775337754885,0.25001638265867493
0.068,True,981985593,False,165,True,False,0.5453266344375779,0.5440442463606925,143,158,158,1,300,23.324195566569177,0.2597216901089627
0.068,True,680654224,False,184,True,False,0.6329505701215915,0.6314565270422698,114,187,187,1,300,26.6808728047959,0.3016803915930451
0.068,True,1274974349,False,182,False,True,0.4878086234869115,0.4863462346837714,162,139,139,1,300,21.132744461758726,0.23232839717080087
0.068,True,2108156038,False,175,True,False,0.6729297237151755,0.6715029674621397,117,184,184,1,300,28.20610815827063,0.32074594073602003
0.068,True,981744537,False,170,True,False,0.5555389278963723,0.554227018412697,144,157,157,1,300,23.715445454194963,0.2646123411799035
0.068,True,1835690748,False,159,True,False,0.5966232381134913,0.5953703069965138,122,179,179,1,300,25.283877387688182,0.28421785062246147
0.068,True,1870864673,False,383,False,True,0.7150195183290047,0.7119034337991271,129,172,172,1,300,29.88079594366247,0.3416796558137855
0.068,True,1726646789,False,198,False,True,0.48260305399368686,0.48107971345870465,172,129,129,1,300,20.93880147884032,0.2299040963018026
0.068,True,1481835646,False,195,False,True,0.6385561283392991,0.6369746312419121,129,172,172,1,300,26.899948128341766,0.30441884856123974
0.068,True,1520042322,False,291,False,True,0.6394852933915683,0.637166269364271,147,154,154,1,300,26.963190282665934,0.30520937982037905
0.068,True,1536147158,False,179,False,True,0.5332044182905858,0.5317322685209679,158,143,143,1,300,22.866259686229792,0.25399745940472795
0.068,True,715863379,False,212,False,True,0.6200305501972121,0.6183069133268478,131,170,170,1,300,26.19636790282307,0.29562404626120364
0.068,True,159863070,False,233,False,True,0.6491006937153508,0.6471934804472123,124,177,177,1,300,27.31343009170528,0.3095874021617639
0.068,True,268644442,False,224,False,True,0.6228804189694815,0.6211273413026729,134,167,167,1,300,26.307215665199777,0.2970096510365139
0.068,True,1145483574,False,236,False,True,0.5855763250408674,0.5837681031294444,136,165,165,1,300,24.884806000098592,0.2792294302079593
0.068,True,1034381878,False,219,False,True,0.5428174355049686,0.5410740028063935,154,147,147,1,300,23.244481339051315,0.25872525667210516
0.068,True,269446247,False,161,True,False,0.6826261600803302,0.6813298975865815,115,186,186,1,300,28.57274527869852,0.3253289304829254
0.068,True,1702734375,False,158,False,True,0.41500130513131944,0.41380014059873693,200,101,101,1,300,18.34196395657107,0.1974434445433322
0.068,True,1164336456,False,163,True,False,0.5001345977935372,0.49887520427022675,154,147,147,1,300,21.596321095258944,0.23812313773233312
0.068,True,31497691,False,351,False,True,0.8307099968817185,0.8280067011277326,114,187,187,1,300,34.289216688158625,0.3967852250337643
0.068,True,1716108321,False,100,True,False,0.39693316278389673,0.3961533332064352,194,107,107,1,300,17.63304055719363,0.18858185226650198
0.068,True,1893659557,False,169,True,False,0.5189094705568686,0.5176084281873587,171,130,130,1,300,22.316029539083186,0.24711954384779186
0.068,True,1981654379,False,343,False,True,0.7233396816593364,0.7206936565176774,139,162,162,1,300,30.18320137592314,0.3454597449455658
0.068,True,1981281546,False,184,False,True,0.49911414432549983,0.49768057089523904,153,148,148,1,300,21.564560907870984,0.23772613315551547
0.068,True,650475326,False,393,False,True,0.7915462702157925,0.7883308275561333,138,163,163,1,300,32.80902797677937,0.3782827621106282
0.068,True,2009181948,False,69,True,False,0.3434996773946039,0.3429750550751562,233,68,68,1,300,15.580821562300146,0.16292897042430643
0.068,True,268241608,False,229,False,True,0.6837811538750482,0.6819357196234873,118,183,183,1,300,28.637800842652595,0.32614212964186334
0.068,True,80075354,False,292,False,True,0.6409424262508527,0.638619523446492,142,159,159,1,300,27.018719112610572,0.3059034941467163
0.068,True,227485885,False,241,False,True,0.5275800383094674,0.5256760322619126,170,131,131,1,300,22.670817491166247,0.2515544182037595
0.068,True,1630828337,False,287,False,True,0.6239382064136743,0.6216244140181628,144,157,157,1,300,26.36874249641454,0.29777874078526023
0.068,True,1929299091,False,218,False,True,0.5995747228009894,0.5978373326679578,141,160,160,1,300,25.415911860045814,0.2858682907445083
0.068,True,2093208576,False,145,True,False,0.5261190918982188,0.5249014312087655,142,159,159,1,300,22.585622804458776,0.25048947855533177
0.068,True,484301400,False,138,True,False,0.5296129234744025,0.5284692126920001,131,170,170,1,300,22.7161411650591,0.2521209673079653
0.068,True,1602164289,False,137,True,False,0.5045330900328976,0.5034353610045554,133,168,168,1,300,21.756864080348684,0.24012993630623403
0.068,True,549156517,False,165,True,False,0.5470517095639249,0.5457469637636678,132,169,169,1,300,23.39125880017195,0.26055998517449
0.068,True,1995544769,False,205,False,True,0.5622011410937239,0.5605146111064077,169,132,132,1,300,23.984405769224654,0.2679743639475717
0.068,True,1424446450,False,147,True,False,0.5667836547272831,0.5655997107942368,135,166,166,1,300,24.140829158955334,0.2699296674344313
