arm,seed,steps_completed,yield_condition_met_count,yield_condition_blocked_count,extinct,collapsed,final_population,final_validator_dependency_mean,final_validator_dependency_max
ZERO_DEPENDENCY,700000106,300,1,0,False,False,448,0.0,0.0
AS_PUBLISHED,700000106,300,1,0,False,False,448,0.0,0.0
ZERO_STRENGTH,700000107,300,1,0,False,False,408,0.0,0.0
ZERO_DEPENDENCY,700000107,300,1,0,False,False,408,0.0,0.0
AS_PUBLISHED,700000107,300,1,0,False,False,408,0.0,0.0
ZERO_STRENGTH,700000108,300,1,0,False,False,435,0.0,0.0
ZERO_DEPENDENCY,700000108,300,1,0,False,False,435,0.0,0.0
AS_PUBLISHED,700000108,300,1,0,False,False,435,0.0,0.0
ZERO_STRENGTH,700000109,300,1,0,False,False,481,0.0,0.0
ZERO_DEPENDENCY,700000109,300,1,0,False,False,481,0.0,0.0
AS_PUBLISHED,700000109,300,1,0,False,False,481,0.0,0.0
ZERO_STRENGTH,700000110,300,1,0,False,False,477,0.0,0.0
ZERO_DEPENDENCY,700000110,300,1,0,False,False,477,0.0,0.0
AS_PUBLISHED,700000110,300,1,0,False,False,477,0.0,0.0
ZERO_STRENGTH,700000111,300,1,0,False,False,449,0.0,0.0
ZERO_DEPENDENCY,700000111,300,1,0,False,False,449,0.0,0.0
AS_PUBLISHED,700000111,300,1,0,False,False,449,0.0,0.0
ZERO_STRENGTH,700000112,300,1,0,False,False,488,0.0,0.0
ZERO_DEPENDENCY,700000112,300,1,0,False,False,488,0.0,0.0
AS_PUBLISHED,700000112,300,1,0,False,False,488,0.0,0.0
ZERO_STRENGTH,700000113,300,1,0,False,False,472,0.0,0.0
ZERO_DEPENDENCY,700000113,300,1,0,False,False,472,0.0,0.0
AS_PUBLISHED,700000113,300,1,0,False,False,472,0.0,0.0
ZERO_STRENGTH,700000114,300,1,0,False,False,494,0.0,0.0
ZERO_DEPENDENCY,700000114,300,1,0,False,False,494,0.0,0.0
AS_PUBLISHED,700000114,300,1,0,False,False,494,0.0,0.0
ZERO_STRENGTH,700000115,300,1,0,False,False,452,0.0,0.0
ZERO_DEPENDENCY,700000115,300,1,0,False,False,452,0.0,0.0
AS_PUBLISHED,700000115,300,1,0,False,False,452,0.0,0.0
ZERO_STRENGTH,700000116,300,1,0,False,False,438,0.0,0.0
ZERO_DEPENDENCY,700000116,300,1,0,False,False,438,0.0,0.0
AS_PUBLISHED,700000116,300,1,0,False,False,438,0.0,0.0
ZERO_STRENGTH,700000117,300,1,0,False,False,415,0.0,0.0
ZERO_DEPENDENCY,700000117,300,1,0,False,False,415,0.0,0.0
AS_PUBLISHED,700000117,300,1,0,False,False,415,0.0,0.0
ZERO_STRENGTH,700000118,300,1,0,False,False,464,0.0,0.0
ZERO_DEPENDENCY,700000118,300,1,0,False,False,464,0.0,0.0
AS_PUBLISHED,700000118,300,1,0,False,False,464,0.0,0.0
ZERO_STRENGTH,700000119,300,1,0,False,False,449,0.0,0.0
ZERO_DEPENDENCY,700000119,300,1,0,False,False,449,0.0,0.0
