candidate_index,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,total_suppression,score_projection_off,score_projection_on
132,0.0708970016915473,0.42109529328515266,0.08350444477031797,0.22703912472846194,0.10313554930926437,0.09432858621525572,0.0,0.8,0.8,109.41741159339146,73.69853732043443
133,0.04002071535025388,0.19567326847746422,0.11018725079890113,0.2975498501957517,0.041608203886726605,0.3149607112909025,0.0,1.0,1.0,103.22810502378428,42.498155867615935
134,0.3364472329490055,0.15356756481847114,0.09980420339858762,0.1672165192499324,0.1104031383928921,0.13256134119111118,0.2,0.0,0.014000000000000002,98.58220961450405,98.59868366255063
135,0.12021350791101945,0.31685643695488996,0.16668937812900783,0.15101841268671531,0.06492676365541351,0.18029550066295388,0.2,0.2,0.21400000000000002,99.7552943088459,99.7669722908951
136,0.16270739812669935,0.0701567485834961,0.2550434193129623,0.14263468774756052,0.18969042810297554,0.17976731812630606,0.2,0.4,0.41400000000000003,69.69872773270623,68.0351143419375
137,0.11165277494664755,0.4495080232082801,0.032965578371322135,0.11158463141586257,0.131512520719061,0.16277647133882675,0.2,0.6,0.614,103.14102491352055,97.36794182923734
138,0.03523731608785861,0.03608651693181639,0.26323889342504597,0.0788962749082787,0.34918737162603103,0.23735362702096943,0.2,0.8,0.8140000000000001,66.7025474237491,47.92306147052505
139,0.28982337991873874,0.11276718778255478,0.30336921649335585,0.08218581538275477,0.07964551629663615,0.13220888412595996,0.2,1.0,1.0,70.8790123804553,42.186525739956934
140,0.2859331271583452,0.033631693220493246,0.04150762183870747,0.30277690918477485,0.17856219780419824,0.15758845079348088,0.4,0.0,0.05600000000000001,62.01511818165733,61.90432054084269
141,0.16470427851222788,0.19906937327201307,0.053591449526767296,0.052322998976910694,0.16604555553037353,0.3642663441817076,0.4,0.2,0.256,100.60046307280193,100.6024828118876
142,0.2378291408335605,0.27307270951275453,0.01588688574443894,0.15009189943799692,0.20854867142431321,0.11457069304693593,0.4,0.4,0.456,120.62797256236651,119.83383885455842
143,0.40271967157215965,0.058234853181143534,0.12790732911770542,0.10685615746490418,0.017333054397998874,0.2869489342660881,0.4,0.6,0.656,55.82232414618125,51.284936141079555
144,0.24909380125626224,0.4204739757644962,0.02748270646639823,0.03925146103956251,0.09818557930308518,0.1655124761701956,0.4,0.8,0.8560000000000001,95.67056756386089,56.84088689028945
145,0.05680615811634695,0.11324824622541971,0.15401376557167493,0.19513386334852578,0.3080510530751866,0.17274691366284606,0.4,1.0,1.0,103.59654312273369,42.72701950341223
146,0.20169571912809087,0.1450341033028111,0.056590825643454384,0.18276322381160698,0.08157246216887903,0.3323436659451577,0.6,0.0,0.126,91.43145099866855,91.44350153918536
147,0.021124555938116487,0.027809426938089212,0.37571637755289194,0.2907721925554408,0.07680907307916617,0.2077683739362954,0.6,0.2,0.326,57.65578366718826,57.071886197693004
148,0.29040550419427574,0.03990666281301574,0.14858773429114666,0.2696008916222069,0.1927234056292808,0.05877580145007424,0.6,0.4,0.526,63.81328210975643,60.18696735478842
149,0.041808902361712176,0.1530521532902325,0.1786536978127786,0.15261491491052415,0.2571194186676392,0.2167509129571132,0.6,0.6,0.726,109.30915379315883,85.37130893191008
150,0.2691544489782456,0.0602093476516677,0.09614795727095746,0.3326688587784666,0.20849429940479633,0.03332508791586633,0.6,0.8,0.926,70.84743668910868,43.14839756579675
